PostalCode,Borough,Neighborhood,Latitude,Longitude
211400,Yizheng,Yangtzu Garden,32.2754,119.1779
211405,Yizheng,Yangtzu Garden,32.3408,119.2415
211423,Yizheng,"Yangtzu Garden,Yizheng market",32.3842,119.2895
211900,Yizheng,Yizheng market,32.2826,119.1471
211931,Yizheng,"Renmen garden,Yizheng market",32.2968,119.1047
225000,Yangzhou,Yangzhou Uiversity,32.3825,119.4102
225001,Guangling,Shouxi Lake,32.3945,119.4368
225002,Guangling,Yangzhou University,32.3982,119.4286
225003,Guangling,Dongguan Street,32.3897,119.4619
225004,Guangling,Guangling campus,32.3645,119.4701
225005,Guangling,"Shouxi Lake,Yangzhou University",32.4235,119.4206
225006,Guangling,Guangling campus,32.4198,119.5073
225007,Guangling,Shunda Square,32.4129,119.4353
225008,Weiyang,Dongguan Street,32.4359,119.4054
225009,Guangling,Dongguan Street,32.3849,119.4264
225012,Weiyang,"Ge Garden,Dongguan Street",32.3934,119.4082
225100,Hanjiang,Yangzhou Industry Campus,32.3767,119.3991
225101,Hanjiang,Golden Landscape,32.3103,119.4607
225102,Hanjiang,Golden Landscape,32.2861,119.4689
225104,Hanjiang,Yangzhou University,32.3418,119.5118
225111,Hanjiang,Yangzhou University,32.3632,119.5405
225119,Hanjiang,Tongda College,32.5858,119.3519
225124,Hanjiang,Tongda College,32.5244,119.3151
225126,Hanjiang,UFO City Garden,32.3648,119.3696
225127,Hanjiang,"Mingyue Lake,UFO City Garden",32.3391,119.3824
225129,Hanjiang,"Mingyue Lake, Jinghua Mall",32.2507,119.3886
225131,Hanjiang,"Jinghua Mall,Yangzhou Technology College",32.2983,119.4332
225200,Jiangdu,Sea Park,32.4265,119.5633
225202,Jiangdu,Sea Park,32.4239,119.5805
225211,Jiangdu,Highroad Station,32.3711,119.7156
225234,Jiangdu,Highroad Station,32.4844,119.6304
225261,Jiangdu,World Garden,32.5298,119.5085
225267,Jiangdu,"Zhuyu Bay,Zhuyu Zoo",32.4682,119.5672
